[2024-02-08 19:56:53]	,                LuaContext::qd_launchbutton, 15.04 ms
[2024-02-08 19:56:53]	,            SequenceEvent::LoadGameViewStateDone, 226.60 ms
[2024-02-08 19:56:53]	,        Civ6App_SequencerEvents, 226.62 ms
[2024-02-08 19:56:53]	,                LuaContext::SelectedUnit, 26.52 ms
[2024-02-08 19:56:53]	,                LuaContext::UnitPanel, 39.86 ms
[2024-02-08 19:56:53]	,            SerialEvent::UnitSelectionChanged, 66.81 ms
[2024-02-08 19:56:53]	,        Civ6App_PublishSerialEvents, 66.82 ms
[2024-02-08 19:56:53]	,    Civ6App_PublishEvents, 293.52 ms
[2024-02-08 19:56:53]	,----- FRAME: 6152 time: 304.96ms Moving avg: 14.37ms 60 frames since last 
[2024-02-08 19:56:53]	,            SerialEvent::LensUpdateSelectedPosition, 14.30 ms
[2024-02-08 19:56:53]	,----- FRAME: 6153 time: 24.46ms Moving avg: 14.74ms 2 frames since last 
[2024-02-08 19:56:58]	, ****GameViewState Begin****
[2024-02-08 19:56:58]	,                        SerialEvent::PreTurnBegin, 141.98 ms
[2024-02-08 19:56:58]	,----- FRAME: 6435 time: 20.70ms Moving avg: 3.95ms 283 frames since last 
[2024-02-08 19:57:02]	,UIManager_ProcessInput, 74.77 ms
[2024-02-08 19:57:02]	,----- FRAME: 6944 time: 5.99ms Moving avg: 6.59ms 510 frames since last 
[2024-02-08 19:57:05]	,UIManager_ProcessInput, 17.34 ms
[2024-02-08 19:57:05]	,----- FRAME: 7376 time: 3.41ms Moving avg: 6.55ms 433 frames since last 
[2024-02-08 19:57:05]	,        UIManager_ProcessInput, 57.53 ms
[2024-02-08 19:57:05]	,----- FRAME: 7397 time: 3.11ms Moving avg: 6.60ms 22 frames since last 
[2024-02-08 19:57:06]	,UIManager_ProcessInput, 23.81 ms
[2024-02-08 19:57:06]	,----- FRAME: 7413 time: 3.33ms Moving avg: 6.65ms 17 frames since last 
[2024-02-08 19:57:06]	,        UIManager_ProcessInput, 26.49 ms
[2024-02-08 19:57:06]	,----- FRAME: 7433 time: 3.03ms Moving avg: 6.70ms 21 frames since last 
[2024-02-08 19:57:06]	,UIManager_ProcessInput, 10.90 ms
[2024-02-08 19:57:06]	,----- FRAME: 7473 time: 3.39ms Moving avg: 6.62ms 41 frames since last 
[2024-02-08 19:57:07]	,UIManager_ProcessInput, 227.44 ms
[2024-02-08 19:57:07]	,----- FRAME: 7519 time: 3.67ms Moving avg: 6.77ms 47 frames since last 
[2024-02-08 19:57:07]	,UIManager_ProcessInput, 165.22 ms
[2024-02-08 19:57:07]	,----- FRAME: 7608 time: 13.71ms Moving avg: 6.96ms 90 frames since last 
[2024-02-08 19:58:16]	,LuaContext::WorldViewIconsManager, 277.73 ms
[2024-02-08 19:58:16]	,SerialEvent::UnitSelectionChanged, 279.38 ms
[2024-02-08 19:58:16]	,Civ6App_PublishSerialEvents, 279.39 ms
[2024-02-08 19:58:16]	,Civ6App_PublishEvents, 279.43 ms
[2024-02-08 19:58:16]	,----- FRAME: 17186 time: 283.42ms Moving avg: 10.92ms 9579 frames since last 
[2024-02-08 19:58:18]	,LocalMachineEvent::InputActionStarted, 13.50 ms
[2024-02-08 19:58:18]	,----- FRAME: 17490 time: 16.24ms Moving avg: 7.04ms 305 frames since last 
[2024-02-08 19:58:31]	,LuaContext::WorldViewIconsManager, 20.67 ms
[2024-02-08 19:58:31]	,GameCoreEvent::ResourceVisibilityChanged, 20.74 ms
[2024-02-08 19:58:31]	,----- FRAME: 19457 time: 29.01ms Moving avg: 7.05ms 1968 frames since last 
[2024-02-08 19:58:32]	,SerialEvent::PlayCameraAnimationAtHex, 6.33 ms
[2024-02-08 19:58:32]	,----- FRAME: 19475 time: 11.41ms Moving avg: 7.17ms 19 frames since last 
[2024-02-08 19:58:36]	,LuaContext::NotificationPanel, 10.48 ms
[2024-02-08 19:58:36]	,GameCoreEvent::NotificationAdded, 10.64 ms
[2024-02-08 19:58:36]	,LuaContext::WorldViewIconsManager, 153.36 ms
[2024-02-08 19:58:36]	,GameCoreEvent::PlotVisibilityChanged, 153.53 ms
[2024-02-08 19:58:36]	,Civ6App_PublishGameCoreEvents, 176.22 ms
[2024-02-08 19:58:36]	,Civ6App_PublishEvents, 181.40 ms
[2024-02-08 19:58:36]	,----- FRAME: 20039 time: 221.50ms Moving avg: 10.20ms 565 frames since last 
[2024-02-08 19:58:40]	,LuaContext::BoostUnlockedPopup, 10.60 ms
[2024-02-08 19:58:40]	,SerialEvent::UIIdle, 10.66 ms
[2024-02-08 19:58:40]	,----- FRAME: 20609 time: 13.53ms Moving avg: 6.68ms 571 frames since last 
[2024-02-08 19:58:43]	,LuaContext::UnitPanel, 34.72 ms
[2024-02-08 19:58:43]	,SerialEvent::UnitSelectionChanged, 35.26 ms
[2024-02-08 19:58:43]	,----- FRAME: 21023 time: 38.81ms Moving avg: 6.88ms 415 frames since last 
[2024-02-08 19:58:52]	,LuaContext::CityBannerManager, 43.55 ms
[2024-02-08 19:58:52]	,GameCoreEvent::CityAddedToMap, 44.14 ms
[2024-02-08 19:58:52]	,LuaContext::CityBannerManager, 13.14 ms
[2024-02-08 19:58:52]	,GameCoreEvent::DistrictAddedToMap, 13.76 ms
[2024-02-08 19:58:52]	,Civ6App_PublishGameCoreEvents, 63.18 ms
[2024-02-08 19:58:52]	,----- FRAME: 22371 time: 69.40ms Moving avg: 7.57ms 1349 frames since last 
[2024-02-08 19:58:52]	,                LuaContext::CityBannerManager, 7.72 ms
[2024-02-08 19:58:52]	,            GameCoreEvent::CityAddedToMap, 7.82 ms
[2024-02-08 19:58:52]	,----- FRAME: 22389 time: 17.67ms Moving avg: 8.03ms 19 frames since last 
[2024-02-08 19:58:52]	,SerialEvent::PreTurnBegin, 86.07 ms
[2024-02-08 19:58:52]	,----- FRAME: 22412 time: 7.96ms Moving avg: 7.79ms 24 frames since last 
[2024-02-08 19:58:52]	,            GameCoreEvent::PlotYieldChanged, 8.43 ms
[2024-02-08 19:58:52]	,----- FRAME: 22415 time: 25.98ms Moving avg: 8.06ms 4 frames since last 
[2024-02-08 20:01:08]	,WorldView_Update_JobSetWait, 18.60 ms
[2024-02-08 20:01:08]	,----- FRAME: 41619 time: 53.41ms Moving avg: 10.39ms 19205 frames since last 
[2024-02-08 20:05:56]	,UIManager_ProcessInput, 16.45 ms
[2024-02-08 20:05:56]	,----- FRAME: 82934 time: 8.76ms Moving avg: 6.84ms 41316 frames since last 
[2024-02-08 20:05:58]	,        UIManager_ProcessInput, 52.69 ms
[2024-02-08 20:05:58]	, ****GameViewState End****
[2024-02-08 20:06:03]	,        Civ6App_HandleGameStateSwap, 5581.12 ms
[2024-02-08 20:06:03]	,----- FRAME: 83209 time: 5584.88ms Moving avg: 94.03ms 276 frames since last 
