Game Turn, Player, BY TYPE: Tiles, Buildings, Districts, Population, Outgoing Trade Routes, TOURISM, Diplo Victory, BALANCE: Favor, LIFETIME: Favor, CO2 Per Turn
1, CIVILIZATION_KOREA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_GEORGIA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_GENEVA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_KUMASI, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_SAMARKAND, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_KOREA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
